        1st,        1st,        1st
      V [V],    Q [mAh],Q/M [mAh/g]
   2.319201,   0.001968,   3.124141
   2.318734,   0.001971,   3.128827
   2.318268,   0.001974,   3.133514
   2.317956,   0.001977,   3.138202
    2.31749,    0.00198,    3.14289
   2.317179,   0.001983,   3.147577
   2.316712,   0.001986,   3.152264
   2.316401,   0.001989,   3.156951
    2.31609,   0.001992,   3.161639
   2.315468,   0.001995,   3.166326
   2.315156,   0.001998,   3.171013
    2.31469,   0.002001,     3.1757
   2.314223,   0.002004,   3.180388
   2.313912,   0.002007,   3.185076
   2.313446,    0.00201,   3.189763
   2.313134,   0.002013,   3.194451
   2.312668,   0.002015,   3.199139
   2.312201,   0.002018,   3.203826
   2.312046,   0.002021,   3.208513
   2.311579,   0.002024,     3.2132
   2.311268,   0.002027,   3.217887
   2.310801,    0.00203,   3.222574
   2.310334,   0.002033,   3.227261
   2.310179,   0.002036,   3.231948
   2.309556,   0.002039,   3.236635
   2.309245,   0.002042,   3.241322
   2.308779,   0.002045,   3.246009
   2.308468,   0.002048,   3.250696
   2.308156,   0.002051,   3.255384
    2.30769,   0.002054,   3.260072
   2.307223,   0.002057,   3.264759
   2.307068,    0.00206,   3.269447
   2.306601,   0.002063,   3.274135
    2.30629,   0.002066,   3.278822
   2.305823,   0.002069,   3.283509
   2.305512,   0.002072,   3.288195
   2.305045,   0.002075,   3.292882
   2.304734,   0.002077,   3.297569
   2.304423,    0.00208,   3.302256
   2.303957,   0.002083,   3.306944
   2.303645,   0.002086,   3.311631
   2.303179,   0.002089,   3.316318
   2.302712,   0.002092,   3.321006
   2.302401,   0.002095,   3.325693
    2.30209,   0.002098,   3.330381
   2.301779,   0.002101,   3.335068
   2.301312,   0.002104,   3.339754
   2.301157,   0.002107,   3.344441
   2.300845,    0.00211,   3.349129
   2.300379,   0.002113,   3.353816
   2.299912,   0.002116,   3.358504
   2.299601,   0.002119,   3.363192
   2.299134,   0.002122,   3.367879
   2.298823,   0.002125,   3.372567
   2.298512,   0.002128,   3.377255
   2.298201,   0.002131,   3.381942
    2.29789,   0.002134,   3.386629
   2.297423,   0.002137,   3.391316
   2.297268,   0.002139,   3.396004
   2.296801,   0.002142,   3.400691
   2.296335,   0.002145,   3.405377
   2.296023,   0.002148,   3.410064
   2.295557,   0.002151,   3.414752
   2.295245,   0.002154,    3.41944
   2.294935,   0.002157,   3.424127
   2.294623,    0.00216,   3.428815
   2.294312,   0.002163,   3.433503
   2.293845,   0.002166,    3.43819
